Frases
 Yo NUNCA, NUNCA he tenido un fetiche extraño.
 Yo NUNCA, NUNCA  he tenido sexo con alguien de Tinder.
 Yo NUNCA, NUNCA he tenido sexo con alguien sin conocerle.
 Yo NUNCA, NUNCA he dicho cosas bonitas solo por tener sexo.
 Yo NUNCA, NUNCA he practicado sexo anal.
 Yo NUNCA, NUNCA he tardado mas de 5 dias sin bañarme.
 Yo NUNCA, NUNCA me he acostado con mi mejor amig@.
 Yo NUNCA, NUNCA he visto a alguien tener sexo.
 Yo NUNCA, NUNCA me he sacado mi organo reproductor en una fiesta.
 Yo NUNCA, NUNCA he visto porno de enanos.
 Yo NUNCA, NUNCA hice un oral a alguien de mi mismo sexo.
 Yo NUNCA, NUNCA me he aprovechado de un amig@ que esta borrach@.
 Yo NUNCA, NUNCA he sido esposado a la cama.
 Yo NUNCA, NUNCA me he peleado a golpes con alguien.
 Yo NUNCA, NUNCA he usado juguetes sexuales.
 Yo NUNCA, NUNCA he despertado en una cama sin saber de quien es.
 Yo NUNCA, NUNCA me ha gustado el BDSM
 Yo NUNCA, NUNCA me he enamorado del herman@ de un amig@.
 Yo NUNCA, NUNCA he tenido una cita solo para hacer daño a otra persona.
 Yo NUNCA, NUNCA nunca he buscado fotos de desnudos de una persona específica en Internet.
 Yo NUNCA, NUNCA me he acostado con más de 10 personas en mi vida.
 Yo NUNCA, NUNCA he tapado el baño ajeno.
 Yo NUNCA, NUNCA he dormido completamente desnudo.
 Yo NUNCA, NUNCA he intentado andar con el ex de mi amig@.
 Yo NUNCA, NUNCA he escuchado gemir a alguien de este grupo.
 Yo NUNCA, NUNCA he usado comida durante el sexo.
 Yo NUNCA, NUNCA he besado a alguien de este grupo y luego me he arrepentido.
 Yo NUNCA, NUNCA he roto un mueble durante el sexo.
 Yo NUNCA, NUNCA he besado al novi@ de mi mejor amig@.
 Yo NUNCA, NUNCA he andado con el/la mejor amig@ de un ex.
 Yo NUNCA, NUNCA he tenido una noche de fiesta que no recuerdo.
 Yo NUNCA, NUNCA  he llorado durante una película de Pixar.
 Yo NUNCA, NUNCA he dejado caer mi móvil al baño.
" Yo NUNCA, NUNCA me he tirado un pedo y he dicho ""!Qué mal huele!"" para despistar."
 Yo NUNCA, NUNCA he pensado que un personaje de dibujos animados fuera sexy
 Yo NUNCA, NUNCA he buscado en Google mi nombre.
 Yo NUNCA, NUNCA he tratado de tirarme un pedo silencioso, pero en su lugar sonó
 Yo NUNCA, NUNCA he caido en videos de gemidos en publico.
 Yo NUNCA, NUNCA he entrado al baño del sexo contrario.
 Yo NUNCA, NUNCA he tenido sexo con alguien que ya tenga hijos.
 Yo NUNCA, NUNCA he sido padrasto/madrasta.
" Yo NUNCA, NUNCA he/han ""Mamado el culo"" como dice bad bunny."
 Yo NUNCA, NUNCA le he tirado el rollo a un policia.
 Yo NUNCA, NUNCA  me he metido con una persona casada.
 Yo NUNCA, NUNCA he robado.
 Yo NUNCA, NUNCA he tenido diarrea y vomitado simultáneamente.
 Yo NUNCA, NUNCA he estado esposado, por ninguna razón.
 Yo NUNCA, NUNCA he orinado en la ducha.
 Yo NUNCA, NUNCA he votado por AMLO.
 Yo NUNCA, NUNCA me he quedado dormido en el autobús y he perdido mi parada.
 Yo NUNCA, NUNCA me he masturbado.
 Yo NUNCA, NUNCA he puesto algo en llamas.
 Yo NUNCA, NUNCA me he reído tan fuerte que oriné un poco.
 Yo NUNCA, NUNCA he vomitado porque alguien mas vomitó.
 Yo NUNCA, NUNCA lo he hecho mientras un miembro de la familia estaba en la misma habitación.
 Yo NUNCA, NUNCA me he metido con mi jef@.
 Yo NUNCA, NUNCA  he probado la comida para gatos/perros.
 Yo NUNCA, NUNCA he andado con mas de una persona a la vez.
 Yo NUNCA, NUNCA he estado en la tele.
 Yo NUNCA, NUNCA me he dormido en el cine.
 Yo NUNCA, NUNCA  he jugado en la nieve.
 Yo NUNCA, NUNCA me han echado de un bar.
 Yo NUNCA, NUNCA he llorado por un ex.
 Yo NUNCA, NUNCA he ido a trabajar sin bañarme.
 Yo NUNCA, NUNCA me he caido.
 Yo NUNCA, NUNCA he estado platicando con mi crush/novi@ cuando estoy en el baño.
" Yo NUNCA, NUNCA me he aplicado el ""ontas""."
 Yo NUNCA, NUNCA  he usado Tinder.
 Yo NUNCA, NUNCA he vomitado a un amigo.
 Yo NUNCA, NUNCA he revisado las conversaciones de mi pareja.
 Yo NUNCA, NUNCA tendria un/una Sugar.
 Yo NUNCA, NUNCA me he masturbado pensado en alguien de este grupo.
 Yo NUNCA, NUNCA me he besado con mi mejor amig@.
 Yo NUNCA, NUNCA tendria sexo con alguien de este grupo.
" Yo NUNCA, NUNCA he dicho ""Te amo"" solo para tener sexo."
 Yo NUNCA, NUNCA he insultado a un desconocido.
" Yo NUNCA, NUNCA he dicho ""Te Amo"" sin sentirlo."
" Yo NUNCA, NUNCA he dicho ""Te amo"" despues del primer beso (la Ted Mosby)."
 Yo NUNCA, NUNCA me han/he pedido matrimonio.
 Yo NUNCA, NUNCA me he hecho la victima en una relación.
 Yo NUNCA, NUNCA he mandado mi pack
 Yo NUNCA, NUNCA le he escrito borrach@ a mi ex.
 Yo NUNCA, NUNCA he perdonado/perdonaria una infielidad.
 Yo NUNCA, NUNCA he regresado/regresaria con un ex.
 Yo NUNCA, NUNCA he tenido relaciones cuando esta andres, el que viene 1 vez al mes.
 Yo NUNCA, NUNCA me he enamorado de alguien que tenga novi@.
 Yo NUNCA, NUNCA he usado tanga.
 Yo NUNCA, NUNCA me he besado con mi ex teniendo pareja.
 Yo NUNCA, NUNCA he tenido un susto de embarazo.
 Yo NUNCA, NUNCA me he besado con 2 o mas personas del grupo.
 Yo NUNCA, NUNCA he probado mi propio semen o el de alguien de este grupo.
 Yo NUNCA, NUNCA he tenido un dedo en mi ano.
 Yo NUNCA, NUNCA he sido engañad@.
 Yo NUNCA, NUNCA me he disfrazado para tener sexo.
 Yo NUNCA, NUNCA he tenido seexo con los zapatos puestos.
 Yo NUNCA, NUNCA he tenido sexo de one night.
 Yo NUNCA, NUNCA he sido amarrado en la cama.
 Yo NUNCA, NUNCA he/han besado despues de vomitar. 
 Yo NUNCA, NUNCA me he dejado creecer el bush.
 Yo NUNCA, NUNCA he pensado que el bebé de un conocido es feo.
 Yo NUNCA, NUNCA he besado a alguien de mi mismo sexo.
 Yo NUNCA, NUNCA he besado a un/una prim@
 Yo NUNCA, NUNCA he orinado en un lugar publico.
 Yo NUNCA, NUNCA cometo el mismo error 2 veces.
 Yo NUNCA, NUNCA he sido visto teniendo relaciones sexuales.
 Yo NUNCA, NUNCA me he manosiado con un/una amig@.
 Yo NUNCA, NUNCA he tenido semen en mi cara.
 Yo NUNCA, NUNCA he perdido algo en la peda.
 Yo NUNCA, NUNCA le he dicho mamá a la maestra.
 Yo NUNCA, NUNCA he tenido un free.
 Yo NUNCA, NUNCA he hablado con mi mascota como si fuera una persona.
 Yo NUNCA, NUNCA me he cagado siendo mayor de 15 años.
 Yo NUNCA, NUNCA he tenido sexo para conseguir un favor.
 Yo NUNCA, NUNCA he dejado a alguien porque es mal@ en el sexo.
 Yo NUNCA, NUNCA he visto porno en la escuela.
 Yo NUNCA, NUNCA he tenido una ETS.
 Yo NUNCA, NUNCA me he tirado un peo durante el delicioso.
 Yo NUNCA, NUNCA he tenido sexo con alguien que no se habia depilado.
 Yo NUNCA, NUNCA he tenido sexo con un/una extranger@.
 Yo NUNCA, NUNCA he tenido sexo sin condon.
 Yo NUNCA, NUNCA he estado en un beso de tres.
 Yo NUNCA, NUNCA he olido la ropa interior de otra perdona.
 Yo NUNCA, NUNCA he ido de noche al cementerio.
 Yo NUNCA, NUNCA he tenido una experiencia paranormal.
 Yo NUNCA, NUNCA he/han orinado durante el sexo.
 Yo NUNCA, NUNCA he hablado mal de un/una ex.
 Yo NUNCA, NUNCA he olido mis calcetines.
 Yo NUNCA, NUNCA me he perdido caminando.
 Yo NUNCA, NUNCA he dejado prendido a alguien.
 Yo NUNCA, NUNCA le he dicho a un niño que algo pica para no darle.
 Yo NUNCA, NUNCA he roto un lavado.
 Yo NUNCA, NUNCA he estado en una relación toxica.
 Yo NUNCA, NUNCA he sido el/la toxic@ en una relacion.
 Yo NUNCA, NUNCA me han gustado menores.
 Yo NUNCA, NUNCA he extrañado algun ex solo por el sexo.
 Yo NUNCA, NUNCA me he clavado con alguien que nisiquiera ha sido mi novi@.
 Yo NUNCA, NUNCA he regresado mas de 5 veces con mi ex.
 Yo NUNCA, NUNCA he sacado l@ golf@ al estar tomad@.
 Yo NUNCA, NUNCA he andado con alguien por interes.
 Yo NUNCA, NUNCA me han puesto el cuerno con mi mejor amig@.
 Yo NUNCA, NUNCA he ilusionado a alguien y al final regresado con mi ex.
 Yo NUNCA, NUNCA me he puesto pedo con 2 shots.
 Yo NUNCA, NUNCA me ha gustado alguien de este este grupo.
 Yo NUNCA, NUNCA he compartido babas con alguien de este grupo.
 Yo NUNCA, NUNCA me he puesto horny estando ped@.
 Yo NUNCA, NUNCA he tenido novi@ por menos de 1 mes.
 Yo NUNCA, NUNCA he sido mandilon/mandilona.
 Yo NUNCA, NUNCA he llegado virgen a los 20.
 Yo NUNCA, NUNCA he sido un/una asalta cunas.
 Yo NUNCA, NUNCA he tenido un ex que se volvio gay.
 Yo NUNCA, NUNCA he querio darle a todo lo que se mueva.
 Yo NUNCA, NUNCA he amanecio desnudo despues de una peda.
 Yo NUNCA, NUNCA he sido un soldado caido.
 Yo NUNCA, NUNCA he tenido sexo.
 Yo NUNCA, NUNCA le he tirado el rollo a alguien de este grupo.
 Yo NUNCA, NUNCA he tenido una relacion de mas de 1 año.
 Yo NUNCA, NUNCA he estado 48 hrs sin dormir.
 Yo NUNCA, NUNCA he arruinado una fiesta.
 Yo NUNCA, NUNCA he dejado plantado a nadie.
 Yo NUNCA, NUNCA he sido mala copa.
 Yo NUNCA, NUNCA me he metido con el/la herman@ de alguien de este grupo.
 Yo NUNCA, NUNCA he tenido sexo en un baño publico.
 Yo NUNCA, NUNCA he regresado con mi ex porque no le/me baja.
 Yo NUNCA, NUNCA le he enviado nude a un ex.
 Yo NUNCA, NUNCA he/han chupado las patas.
 Yo NUNCA, NUNCA me he exitado con patas.
 Yo NUNCA, NUNCA he coqueteado con alguien teniendo pareja
 Yo NUNCA, NUNCA he besado a un maestr@.
 Yo NUNCA, NUNCA he roto amistades por ligues.
 Yo NUNCA, NUNCA me he masturbado con algun video de youtube.
 Yo NUNCA, NUNCA he subido estados para que alguien en específico me los conteste.
 Yo NUNCA, NUNCA he tenido algo con un familiar de un ex.
 Yo NUNCA, NUNCA he jugado con el corazón o los sentimientos de alguien.
 Yo NUNCA, NUNCA nunca he stalkeado el face/insta de mi ex.
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
 Yo NUNCA, NUNCA
